"Position","Featured Status","Property Title","Price","Size","Address","Property Type","Property Link","Agent Logo","Agent Name","Enquiry Link"
17,,"Unit 1 and 4 The Dairy, Priston...","£24,000.00 - £27,000.00 Per Annum","3,129 - 3,637 Sq Ft","Unit 1 and 4 The Dairy, Priston Mill Farm, Priston...","General Industrial, Industrial","https://propertylink.estatesgazette.com/property-details/6979703-unit-1-and-4-the-dairy-priston-mill-farm-priston-bath-somerset-ba2-9eq","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6979703"
18,,"Ground Floor Of 6 Westgate...","£50,000.00 Per Annum","1,012 Sq Ft","Ground Floor Of 6 Westgate Buildings, Bath, Bath...","General Retail, Retail","https://propertylink.estatesgazette.com/property-details/6979304-ground-floor-of-6-westgate-buildings-bath-bath-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6979304"
19,,"Third Floor , 35 Gay Street...","£4,000.00 Per Annum","139 Sq Ft","Third Floor , 35 Gay Street, Bath, Bath and North East...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6978357-third-floor-35-gay-street-bath-bath-and-north-east-somerset-ba1-2nt","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6978357"
20,,"Cambridge House, 1-4...","ROA","5,500 - 11,724 Sq Ft","Cambridge House, 1-4 Cambridge House, Henry...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6977992-cambridge-house-1-4-cambridge-house-ba1","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/015/089/HTC_PrimaryLogo_Orange_Grey_RGB.jpg","Htc primarylogo orange grey rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6977992"
21,,"Second Floor, 25 Windsor...","£17,500.00 Per Annum","1,032 Sq Ft","Second Floor, 25 Windsor Castle, Upper Bristol...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6976873-second-floor-25-windsor-castle-upper-bristol-road-bath-bath-and-north-east-somerset-ba1-3dn","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6976873"
22,,"Flexible Offices 4 Queen Street...","£400.00 - £6,500.00 Per Month","80 - 650 Sq Ft","UBC Flexible Offices 4 Queen Street, Bath BA1...","Office, Serviced Office, Offices","https://propertylink.estatesgazette.com/property-details/6976767-flexible-offices-4-queen-street-bath","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/019/927/UBC_logo.jpg","Ubc logo","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6976767"
23,,"Third Floor, 14 Queen Square...","£8,500.00 Per Annum",,"Third Floor, 14 Queen Square, Bath, Bath and...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6975850-third-floor-14-queen-square-bath-bath-and-north-east-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6975850"
24,,"Second Floor, 14 Queen...","£12,500.00 Per Annum","683 Sq Ft","Second Floor, 14 Queen Square, Bath, Bath and...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6975849-second-floor-14-queen-square-bath-bath-and-north-east-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6975849"
25,"Featured","Flexible Offices 4 Queen Street...","£400.00 - £6,500.00 Per Month","80 - 650 Sq Ft","UBC Flexible Offices 4 Queen Street, Bath BA1...","Office, Serviced Office, Offices","https://propertylink.estatesgazette.com/property-details/6976767-flexible-offices-4-queen-street-bath","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/019/927/UBC_logo.jpg","Ubc logo","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6976767"
26,,"Unit 3, The Grain Store Spring...","£60,000.00 Per Annum","3,409 Sq Ft","Unit 3, The Grain Store Spring Wharf, Roseberry Road...","General Retail, Retail","https://propertylink.estatesgazette.com/property-details/6974836-unit-3-the-grain-store-spring-wharf-roseberry-road-bath-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6974836"
