"Position","Featured Status","Property Title","Price","Size","Address","Property Type","Property Link","Agent Logo","Agent Name","Enquiry Link"
62,,"10 Quiet Street, Bath, Bath And...","£50,000.00 Per Annum","4,106 Sq Ft","10 Quiet Street, Bath, Bath And North East...","Retail - High Street, Retail","https://propertylink.estatesgazette.com/property-details/6889021-10-quiet-street-bath-bath-and-north-east-somerset-ba1-2ju","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6889021"
63,,"27 Upper Borough Walls, Bath...","£12,500.00 - £18,000.00 Per Annum","729 - 1,566 Sq Ft","27 Upper Borough Walls, Bath, Bath And North East...","General Retail, Restaurants/Cafes, Retail, Licensed &...","https://propertylink.estatesgazette.com/property-details/6881244-27-upper-borough-walls-bath-bath-and-north-east-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6881244"
64,,"Ground Floor, 14 Queen...","£29,500.00 Per Annum","1,298 Sq Ft","Ground Floor, 14 Queen Square, Bath, Bath And...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6870350-ground-floor-14-queen-square-bath-bath-and-north-east-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6870350"
65,,"Land On The South Side Of...","ROA","1.1 Acre","Land On The South Side Of Upper Bristol Road...","Land, Storage, Commercial Land, Industrial","https://propertylink.estatesgazette.com/property-details/6846731-land-on-the-south-side-of-upper-bristol-road-victoria-park-business-centre","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/015/089/HTC_PrimaryLogo_Orange_Grey_RGB.jpg","Htc primarylogo orange grey rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6846731"
66,,"Grosvenor House, The Square...","ROA","9,203 - 18,546 Sq Ft","Grosvenor House, The Square, Lower Bristol Road, Bath","Office, Offices","https://propertylink.estatesgazette.com/property-details/6798535-grosvenor-house-the-square-lower-bristol-road-bath","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6798535"
67,,"The Old Fuller Earth Works, The...","£17,500.00 Per Annum","1,274 Sq Ft","The Old Fuller Earth Works, The Firs, Combe Hay, Bath...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6778017-the-old-fuller-earth-works-the-firs-combe-hay-bath-somerset-ba2","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6778017"
68,,"A/B &amp; Grd C/D Crescent...","ROA","2,400 - 7,200 Sq Ft","A/B &amp; Grd C/D Crescent Office Park, Clarks Way...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6778007-a-b-amp-grd-c-d-crescent-office-park-clarks-way-bath-ba2-2af","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/805/Colliers_Logo_RGB_Keyline.png","Colliers logo rgb keyline","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6778007"
69,,"Royal Mead , 4-5 Railway...","£36.00 - £40.00 Per Sq Ft","4,092 - 25,451 Sq Ft","Royal Mead , 4-5 Railway Place, City Centre, Bath...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6761741-royal-mead-4-5-railway-place-city-centre-bath-south-west-ba1","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/002/183/331.gif",331,"https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6761741"
70,,"Pinesgate East, Lower Bristol...","£393,328.00 Per Annum","15,130 Sq Ft","Pinesgate East, Lower Bristol Road, Bath, Somerset...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6738357-pinesgate-east-lower-bristol-road-bath-somerset-ba2-3dp","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6738357"
71,,"Newark Works, Lower Bristol...","ROA","244 - 4,841 Sq Ft","Newark Works, Lower Bristol Road, Bath, Somerset...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6692883-newark-works-lower-bristol-road-bath-somerset-ba2","https://propertylink.estatesgazette.com/assets/images/360.svg",360,"https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6692883"
72,,"No. 1 Bath Quays, Lower Bristol...","ROA","1,052 - 10,993 Sq Ft","No. 1 Bath Quays, Lower Bristol Road, Bath, BA2","Office, Offices","https://propertylink.estatesgazette.com/property-details/6680993-no-1-bath-quays-lower-bristol-road-bath-ba2","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/008/803/01-12-2015_09-40-51.png","01 12 2015 09 40 51","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6680993"
73,"Featured","Flexible Offices 4 Queen Street...","£400.00 - £6,500.00 Per Month","80 - 650 Sq Ft","UBC Flexible Offices 4 Queen Street, Bath BA1...","Office, Serviced Office, Offices","https://propertylink.estatesgazette.com/property-details/6976767-flexible-offices-4-queen-street-bath","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/019/927/UBC_logo.jpg","Ubc logo","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-4#enquiry-modal-6976767"
74,,"Riverside South Building...","£67,000.00 Per Annum","2,783 Sq Ft","Riverside South Building, Walcot Street, Bath, Bath...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6624703-riverside-south-building-walcot-street-bath-bath-and-north-east-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-4#enquiry-modal-6624703"
75,,"Kings Court Parsonage Lane...","ROA","5,687 - 17,007 Sq Ft","Kings Court Parsonage Lane, Bath, Bath And...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6404227-kings-court-parsonage-lane-bath-bath-and-north-east-somerset-ba1","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-4#enquiry-modal-6404227"
